CustomerID,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Cluster,PCA1,PCA2
12347,2,7,4310.0,1.0986122886681096,2.0794415416798357,8.368925174747135,1,2.5901905360875284,-0.7771583651064023
12348,75,4,1437.24,4.330733340286331,1.6094379124341003,7.271175422825089,2,0.4014545054560041,0.6865093617513374
12349,19,1,1457.55,2.995732273553991,0.6931471805599453,7.285198070516535,0,0.08718165576278984,-0.514721360083264
12350,310,1,294.4,5.739792912179234,0.6931471805599453,5.68833037009728,3,-1.7274468477904117,0.642448226444374
12352,36,6,1265.41,3.6109179126442243,1.9459101490553132,7.143941404934868,1,0.9211870340833888,0.31617825820507767
12353,204,1,89.0,5.3230099791384085,0.6931471805599453,4.499809670330265,3,-2.1374659034153374,-0.05491864805733115
12354,232,1,1079.4,5.4510384535657,0.6931471805599453,6.985086621918461,2,-0.9957155969435777,0.9320891135863016
12355,214,1,459.4,5.3706380281276624,0.6931471805599453,6.132095676847728,3,-1.3736396259860495,0.5702226570334243
12356,23,3,2487.43,3.1780538303479458,1.3862943611198906,7.819407268507752,1,0.9024766688711539,0.06803463844556705
12357,33,1,6207.67,3.5263605246161616,0.6931471805599453,8.733701981297274,2,0.5782172297521448,0.3495634923050667
12358,2,2,928.0600000000001,1.0986122886681096,1.0986122886681096,6.834173322304168,1,0.9646976419637788,-1.7221373343347037
12359,58,4,6052.53,4.07753744390572,1.6094379124341003,8.708396851946203,2,1.1868833880663814,1.0498859783444137
12360,52,3,2302.06,3.970291913552122,1.3862943611198906,7.741993952455694,2,0.5623702105833888,0.541946861587648
12361,287,1,174.9,5.662960480135946,0.6931471805599453,5.169915651743512,3,-1.9464370392576793,0.40479334653765564
12362,3,10,4587.73,1.3862943611198906,2.3978952727983707,8.43135857631612,4,2.799091315134874,-0.44687825438914064
12363,110,2,552.0,4.709530201312334,1.0986122886681096,6.315358001522335,2,-0.6649836501396923,0.3773961600854536
12364,8,4,1208.1,2.1972245773362196,1.6094379124341003,7.097631560180201,1,1.1343373537484511,-0.7289858444523981
12365,291,1,320.69,5.676753802268282,0.6931471805599453,5.773588348900164,3,-1.662487627342236,0.6335691822490291
12367,4,1,150.9,1.6094379124341003,0.6931471805599453,5.023222409601727,0,-0.46631855091249624,-2.217839689949032
12370,51,4,3425.69,3.9512437185814275,1.6094379124341003,8.139350059656385,2,0.9625529749957101,0.7624270643871316
12371,60,1,1527.96,4.110873864173311,0.6931471805599453,7.3323430446973905,2,-0.31675265635206695,0.20925087400239387
